INSTNM,CONTROL,DEBT_MDN,C150_4_POOLED_SUPP,RPY_3YR_RT_SUPP,UGDS
University of Arkansas at Pine Bluff,1,14328,0.4057,0.3661573288,1899
Arkansas State University-Beebe,1,5500,NA,0.5303210464,1902
Arkansas State University,1,15000,0.5388,0.5756867329,7994
Arkansas Tech University,1,11350,0.4877,0.5645795127,5993
University of Arkansas at Monticello,1,11364,0.4124,0.4455292909,1868
Arthur's Beauty College,3,7931,NA,0.4712643678,47
Baptist Health College Little Rock,2,9500,NA,0.7012987013,512
Black River Technical College,1,6000,NA,0.4469835466,938
University of Central Arkansas,1,13000,0.5174,0.6233618234,7426
Central Baptist College,2,12876,0.3716,0.5753424658,477
Cossatot Community College of the University of Arkansas,1,PS,NA,NA,835
Crowley's Ridge College,2,13918,0.2876,0.5267857143,162
East Arkansas Community College,1,4750,NA,0.3229166667,492
Paul Mitchell the School-Little Rock,3,9833,NA,0.4253578732,411
National Park College,1,6250,NA,0.3684210526,1706
University of Arkansas Community College-Batesville,1,7085,NA,0.472406181,788
Harding University,2,21601,0.7018,0.7277023036,3323
Henderson State University,1,12000,0.3869,0.561760841,1491
Hendrix College,2,19500,0.6889,0.7620320856,1094
Hot Springs Beauty College,3,8000,NA,0.3714285714,92
Jefferson Regional School of Nursing,2,7500,NA,PS,80
John Brown University,2,17000,0.6898,0.7462871287,1415
Career Academy of Hair Design,3,5531,NA,0.3684210526,244
Academy of Salon and Spa,3,4398,NA,0.396039604,81
Arkansas State University Mid-South,1,PS,NA,NA,435
Arkansas Northeastern College,1,PS,NA,0.4390243902,787
New Tyler Barber College Inc,3,9500,NA,0.3962264151,58
North Arkansas College,1,5928,NA,0.4002890173,1184
Northwest Technical Institute,1,PS,NA,NA,217
Ouachita Baptist University,2,15000,0.679,0.6861471861,1612
Arkansas State University Three Rivers,1,6500,NA,0.4488448845,514
Ozarka College,1,7713,NA,0.3554083885,564
University of the Ozarks,2,11000,0.4718,0.59030837,753
University of Arkansas Community College-Morrilton,1,6300,NA,0.4827586207,1538
Philander Smith University,2,14750,0.3146,0.3868921776,842
Phillips Community College of the University of Arkansas,1,3500,NA,0.3214285714,595
Southeast Arkansas College,1,6186,NA,0.4023972603,748
University of Aesthetics & Cosmetology,3,9833,NA,0.4107142857,34
University of Arkansas-Pulaski Technical College,1,7000,NA,0.4159965537,3791
University of Arkansas Hope-Texarkana,1,3500,NA,0.5,697
University of Arkansas Community College Rich Mountain,1,4875,NA,NA,475
Paul Mitchell the School-Arkansas,3,9753,NA,0.7155963303,107
Searcy Beauty College,3,9500,NA,0.328358209,87
Shorter College,2,22625,NA,0.247311828,290
Williams Baptist University,2,9500,0.3984,0.6174242424,490
South Arkansas College,1,7000,NA,0.4453507341,879
Southern Arkansas University Main Campus,1,12500,0.4553,0.4865079365,2865
Southern Arkansas University Tech,1,4500,NA,0.3901234568,663
Velvatex College of Beauty Culture,3,PS,NA,NA,12
University of Arkansas-Fort Smith,1,10750,0.3945,0.5166270784,4133
Academy of Art University,3,11000,0.4236,0.3587936866,4131
Academy of Chinese Culture and Health Sciences,2,PS,NA,NA,NA
College of Alameda,1,9500,NA,0.2755102041,4274
Allan Hancock College,1,7888,NA,0.2916666667,7812
American Academy of Dramatic Arts-Los Angeles,2,12000,NA,0.4113475177,169
Berkeley School of Theology,2,PS,NA,NA,28
American Film Institute Conservatory,2,PS,NA,PS,NA
American Beauty College,3,4923,NA,0.5408163265,250
American Career College-Los Angeles,3,9500,NA,0.3423601502,2066
American River College,1,9354,NA,0.2558210784,25758
Antelope Valley Community College District,1,8619,0.3048,0.1919156415,10905
Art Center College of Design,2,26000,0.7918,0.6971830986,2054
Associated Technical College-Los Angeles,3,9500,NA,0.2374768089,159
Associated Technical College-San Diego,3,9500,NA,0.1976744186,77
Azusa Pacific University,2,19710,0.6282,0.6398247056,2977
Bakersfield College,1,9500,0.2243,0.2836676218,16451
Barstow Community College,1,3463,NA,NA,2585
Bellus Academy-Chula Vista,3,6333,NA,0.2328244275,379
Bethesda University,2,7648,0.1194,0.380952381,212
Biola University,2,19000,0.7041,0.7403017241,3390
Brownson Technical School,3,9500,NA,0.6218487395,284
Bryan University,3,13763,0.2946,0.314059647,2083
Butte College,1,8250,NA,0.3354755784,8384
California Institute of Integral Studies,2,18750,NA,0.4609375,57
Cabrillo College,1,9500,NA,0.3925373134,7404
California Baptist University,2,20500,0.612,0.5394831299,7914
California College of the Arts,2,19500,0.6572,0.6337792642,1004
University of California College of the Law-San Francisco,1,PS,NA,PS,NA
California Institute of Technology,2,12000,0.936,PS,1023
California Lutheran University,2,18970,0.7359,0.7060260586,2374
California Polytechnic State University-San Luis Obispo,1,15396,0.8532,0.8668037469,21521
Alliant International University-San Diego,3,12500,0.1714,0.4181818182,355
California State University-Bakersfield,1,11270,0.4949,0.5522959184,8183
California State University-Stanislaus,1,11750,0.5665,0.6448722204,8564
California State University-San Bernardino,1,12445,0.5453,0.5218547449,15771
California State Polytechnic University-Pomona,1,13437,0.6652,0.7256108279,24271
California State University-Chico,1,14500,0.639,0.7104344453,13057
California State University-Dominguez Hills,1,11902,0.4668,0.5070004243,12642
California State University-Fresno,1,12463,0.5552,0.6376934853,21070
California State University-Fullerton,1,12000,0.6926,0.7021053856,36956
California State University-East Bay,1,12500,0.4552,0.616416553,10422
California State University-Long Beach,1,12227,0.7126,0.7066651756,34131
California State University-Los Angeles,1,11966,0.5198,0.5822074048,21478
California State University-Northridge,1,12000,0.561,0.6067033517,32357
California State University-Sacramento,1,12500,0.5512,0.6550400351,27867
University of California-Berkeley,1,12000,0.9345,0.8016838167,33073
University of California-Davis,1,11000,0.857,0.8310542019,31777
University of California-Irvine,1,13820,0.8628,0.7755230455,29494
University of California-Los Angeles,1,12983,0.9257,0.7863156488,33040
University of California-Riverside,1,14944,0.7627,0.6673076923,22644
University of California-San Diego,1,14778,0.8768,0.8207206084,33787
University of California-San Francisco,1,PS,NA,PS,NA
University of California-Santa Barbara,1,11875,0.8551,0.7458906407,23205
University of California-Santa Cruz,1,14334,0.7571,0.7497738375,17812
Sofia University,3,PS,NA,PS,7
California Beauty College,3,4369,NA,0.4608695652,73
Haven University,2,NA,NA,NA,22
California Hair Design Academy,3,6028,NA,0.46692607,125
California Institute of the Arts,2,16994,0.6399,0.6650366748,881
California State University Maritime Academy,1,16889,0.6493,0.8184210526,761
California Western School of Law,2,PS,NA,PS,NA
Canada College,1,9272,NA,0.3831168831,4878
College of the Canyons,1,6375,NA,0.345721694,15365
Career Academy of Beauty,3,6279,NA,0.592,207
Casa Loma College-Los Angeles,2,20245,0.5362,0.3695380774,581
CET-San Diego,2,6729,NA,0.3120107962,225
CET-San Jose,2,6729,NA,0.3120107962,175
CET-El Centro,2,6729,NA,0.3120107962,167
CET-Colton,2,6729,NA,0.3120107962,191
CET-Watsonville,2,6729,NA,0.3120107962,149
CET-Salinas,2,6729,NA,0.3120107962,187
Cerritos College,1,8350,NA,0.3414414414,18710
Cerro Coso Community College,1,5500,NA,PS,3496
Chabot College,1,8973,NA,0.341991342,10861
Chaffey College,1,4325,NA,0.3505747126,13568
Chapman University,2,17750,0.8191,0.676021461,7629
Charles R Drew University of Medicine and Science,2,14750,PS,0.4636363636,233
Concordia University-Irvine,2,19000,0.628,0.6862955032,1456
San Diego Christian College,2,13000,0.29,0.451171875,91
Church Divinity School of the Pacific,2,PS,NA,NA,NA
Citrus College,1,5500,NA,0.2865384615,8126
Citrus Heights Beauty College,3,5495,NA,NA,110
City College of San Francisco,1,7497,NA,0.3751269036,16060
Claremont Graduate University,2,PS,NA,PS,NA
Claremont McKenna College,2,11948,0.9331,PS,1379
Milan Institute-Visalia,3,7000,NA,0.3144876325,632
Clovis Adult Education,1,PS,NA,NA,268
Coastline Community College,1,7683,NA,0.3771812081,7007
University of Silicon Valley,3,18334,0.4048,0.4415584416,377
Coba Academy,3,6333,NA,0.4339622642,100
Western University of Health Sciences,2,PS,NA,PS,NA
Columbia College,1,PS,NA,NA,1917
California College of ASU,2,13167,0.4811,0.3833333333,149
Compton College,1,6463,NA,NA,2881
Contra Costa College,1,4750,NA,0.2775665399,4805
Cosumnes River College,1,8563,NA,0.2514563107,13527
Crafton Hills College,1,PS,NA,PS,5074
Cuesta College,1,9500,NA,0.546184739,6879
Cuyamaca College,1,5136,NA,0.4252873563,6788
Cypress College,1,7500,0.3435,0.4194029851,12309
De Anza College,1,6495,NA,0.4149933066,14953
International School of Beauty Inc,3,6359,NA,0.3507692308,173
College of the Desert,1,5261,NA,0.3164556962,8900
Design Institute of San Diego,3,24530,PS,0.637037037,92
DHARMA REALM BUDDHIST UNIVERSITY,2,NA,PS,NA,NA
Diablo Valley College,1,6000,NA,0.5100671141,14734
Dominican University of California,2,24250,0.7767,0.7153196622,1178
Dominican School of Philosophy & Theology,2,NA,NA,NA,NA
East Los Angeles College,1,6999,NA,0.3729433272,24401
El Camino Community College District,1,4750,NA,0.2452054795,18994
Emperor's College of Traditional Oriental Medicine,3,PS,NA,PS,NA
Empire College,3,12000,0.6048,0.403539823,NA
Evergreen Valley College,1,9250,NA,0.5657370518,7670
FIDM-Fashion Institute of Design & Merchandising,3,12000,0.7105,0.62595226,1319
Feather River Community College District,1,7000,0.4333,0.3175965665,1574
Federico Beauty Institute,3,5735,NA,0.539083558,245
Fielding Graduate University,2,PS,NA,PS,NA
Five Branches University,3,PS,NA,PS,NA
Redondo Beach Beauty College,3,PS,NA,NA,52
Foothill College,1,6795,0.5842,0.4420289855,10922
Franciscan School of Theology,2,NA,NA,NA,NA
Fredrick and Charles Beauty College,3,PS,NA,NA,67
Fresno City College,1,3500,NA,0.3426323319,18774
Fresno Pacific University,2,19250,0.5303,0.5337209302,1614
Fuller Theological Seminary,2,PS,NA,PS,NA
Fullerton College,1,6500,NA,0.3626373626,16637
Gavilan College,1,5841,NA,0.3397260274,4410
Gemological Institute of America-Carlsbad,2,8233,NA,0.8073394495,308
Glendale Community College,1,7000,NA,0.5693950178,9807
Glendale Career College,3,9321,0.6397,0.4149068323,854
Golden Gate University,2,18774,NA,0.5590062112,550
Golden West College,1,5500,NA,0.5031055901,8919
Graduate Theological Union,2,NA,NA,NA,NA
Grossmont College,1,4500,NA,0.4390581717,11467
Salon Success Academy-Riverside,3,10534,NA,0.3617021277,173
Hartnell College,1,4500,NA,0.2765957447,7153
Harvey Mudd College,2,19500,0.9291,PS,915
Hilltop Beauty School,3,PS,NA,NA,79
Pacifica Graduate Institute,3,PS,NA,PS,NA
California State Polytechnic University-Humboldt,1,14500,0.4607,0.57681252,5491
Humphreys University-Stockton and Modesto Campuses,2,25000,0.629,0.2561576355,178
Imperial Valley College,1,PS,NA,NA,6881
Institute for Business and Technology,3,7600,NA,0.3538011696,609
Interior Designers Institute,3,17667,PS,0.6732673267,107
Irvine Valley College,1,4500,NA,0.4137931034,9577
Bellus Academy-El Cajon,3,6330,NA,0.320610687,205
American Jewish University,2,18667,0.3784,0.5,69
Reedley College,1,3500,NA,0.3683127572,4853
Life Pacific University,2,14000,0.527,0.5172413793,393
University of La Verne,2,21000,0.6438,0.5224144017,3341
Laguna College of Art and Design,2,18875,0.6307,0.6129032258,776
Lake Tahoe Community College,1,5100,NA,PS,2909
Lancaster Beauty School,3,7250,NA,0.2903225806,131
Laney College,1,9301,NA,0.2511415525,7158
Lassen Community College,1,5500,NA,0.3050847458,1564
Latin American Bible Institute,2,NA,0.5,NA,78
Life Chiropractic College West,2,PS,NA,NA,NA
Lincoln University,2,12500,0.7671,0.4651162791,223
Southern California Seminary,2,12034,PS,0.5526315789,30
La Sierra University,2,18500,0.6486,0.5204678363,1155
Loma Linda University,2,17014,NA,0.8243080626,867
Long Beach City College,1,7000,NA,0.2462006079,21899
Southern California University of Health Sciences,2,10950,PS,0.4482758621,132
Los Angeles Harbor College,1,5795,NA,0.3962264151,6496
Los Angeles Pierce College,1,12500,NA,0.3279002876,13029
Los Angeles Southwest College,1,10000,NA,0.1754385965,3793
Los Angeles Trade Technical College,1,9500,NA,0.291005291,10165
Los Angeles Valley College,1,9500,NA,0.391908976,12470
The Master's University and Seminary,2,16327,0.6868,0.7686567164,1606
Los Angeles City College,1,9500,NA,0.3221360896,10857
Los Angeles County College of Nursing and Allied Health,1,9500,NA,0.7184466019,220
Los Angeles Mission College,1,10432,NA,0.4487951807,8031
Los Medanos College,1,9326,NA,0.4639175258,7100
Loyola Marymount University,2,15000,0.8061,0.7843866171,7171
Lu Ross Academy,3,6333,NA,0.4751552795,277
Lyle's College of Beauty,3,6333,NA,0.4363636364,96
Lyle's College of  Beauty,3,6333,NA,0.4363636364,77
Lytles Redwood Empire Beauty College,3,7534,NA,0.7310344828,114
MTI College,3,7060,NA,0.4742436631,1025
College of Marin,1,10062,NA,0.2746185853,3928
Mendocino College,1,9500,NA,0.2335766423,2857
Menlo College,2,13000,0.5415,0.6470588235,811
Merced College,1,4188,NA,NA,9677
Merritt College,1,9500,NA,0.2588652482,5153
Northeastern University Oakland,2,22000,NA,0.7869451697,542
MiraCosta College,1,9488,0.4184,0.4448398577,10474
Mission College,1,8816,NA,0.4694835681,5557
Modern Beauty Academy,3,8143,NA,0.4912280702,62
Modesto Junior College,1,3375,0.2543,NA,14714
Moler Barber College,3,8374,NA,0.2465753425,335
Middlebury Institute of International Studies at Monterey,2,11522,NA,0.8765743073,8
Monterey Peninsula College,1,8250,NA,0.3175074184,5759
Moorpark College,1,7161,NA,0.4186440678,12011
Mt San Antonio College,1,5500,NA,0.4119850187,25311
Mount Saint Mary's University,2,22167,0.5668,0.5858895706,1746
Mt San Jacinto Community College District,1,7000,NA,0.3653846154,14859
Musicians Institute,3,6334,0.4689,0.5433579336,735
Napa Valley College,1,9371,NA,0.4472361809,3205
National Holistic Institute,3,9500,NA,0.5344970906,1134
National University,2,18750,0.44,0.4979396736,9725
Naval Postgraduate School,1,NA,NA,NA,NA
Newschool of Architecture and Design,3,23618,0.4719,0.4797979798,212
North Adrian's College of Beauty Inc,3,9500,NA,0.2430769231,213
North-West College-Pomona,3,9500,NA,0.3725296443,315
North-West College-West Covina,3,9500,NA,0.4816650149,635
North-West College-Van Nuys,3,8419,NA,0.408496732,225
San Francisco Bay University,2,NA,NA,NA,62
Notre Dame de Namur University,2,16500,0.392,0.6161616162,14
Occidental College,2,19000,0.8396,0.8759541985,1844
Ohlone College,1,9500,NA,0.3984375,6958
Orange Coast College,1,6175,NA,0.4910714286,16117
Otis College of Art and Design,2,20000,0.6109,0.6936416185,1242
Oxnard College,1,7500,NA,PS,6059
Hope International University,2,15738,0.4789,0.5446428571,549
Concorde Career College-San Diego,3,9500,NA,0.3953488372,178
Palo Alto University,2,15000,NA,0.6708860759,19
Pacific Oaks College,2,23500,NA,0.4872521246,346
Pacific School of Religion,2,PS,NA,PS,NA
Pacific States University,2,PS,PS,PS,17
Pacific Union College,2,19500,0.4879,0.5951219512,910
University of the Pacific,2,17653,0.7046,0.7276096356,3247
Palo Verde College,1,PS,NA,NA,2909
Palomar College,1,3500,NA,0.3440860215,16167
Pasadena City College,1,6036,NA,0.38424821,20624
Pepperdine University,2,19500,0.8435,0.744732577,3629
Pitzer College,2,13000,0.8434,0.8376068376,1191
Point Loma Nazarene University,2,19500,0.7484,0.7935299715,3132
Pomona College,2,10000,0.9391,0.8510638298,1638
Porterville College,1,PS,NA,NA,2775
Professional Institute of Beauty,3,2976,NA,0.6268656716,90
Santa Ana College,1,5500,0.2919,0.4611650485,22011
RAND School of Public Policy,2,NA,NA,NA,NA
Shasta School of Cosmetology,3,PS,NA,NA,101
University of Redlands,2,21250,0.69,0.6832579186,2095
College of the Redwoods,1,6666,NA,0.3594864479,3514
Salon Success Academy-Upland,3,7116,NA,0.4520547945,238
Salon Success Academy-Corona,3,7176,NA,0.4431818182,216
Rio Hondo College,1,4750,0.26,0.3438395415,15365
Riverside City College,1,5500,NA,0.4141531323,17361
Dongguk University Los Angeles,2,PS,NA,PS,4
Sacramento City College,1,9256,NA,0.3094282849,16952
Saddleback College,1,6988,NA,0.4533106961,15959
Samuel Merritt University,2,20825,NA,0.9169230769,712
San Diego City College,1,4500,NA,0.2963525836,10584
San Diego Mesa College,1,4500,0.3377,0.4423269809,15899
San Diego Miramar College,1,4239,NA,0.4172661871,10740
San Diego State University,1,12847,0.7814,0.6623442024,33654
University of San Diego,2,19019,0.8208,0.800768738,5619
San Francisco Conservatory of Music,2,22000,0.5739,0.5882352941,215
San Francisco State University,1,12923,0.5225,0.6432451582,20033
University of San Francisco,2,19000,0.7278,0.7321924144,5697
San Joaquin College of Law,2,PS,NA,PS,NA
San Joaquin Delta College,1,7000,NA,0.2343274498,13964
San Joaquin Valley College-Visalia,3,9773,0.3289,0.3015602145,2270
San Joaquin Valley College-Bakersfield,3,9773,NA,0.3015602145,820
William Jessup University,2,14419,0.5589,0.6157989228,1021
San Jose City College,1,5500,NA,0.368159204,7039
San Jose State University,1,12000,0.6622,0.7425373134,26757
College of San Mateo,1,6875,NA,0.5608108108,7359
Santa Barbara City College,1,8250,NA,0.4010046044,10070
Santa Clara University,2,16845,0.8849,0.8798674399,6235
Santa Monica College,1,6500,0.3398,0.4652241113,21194
Santa Rosa Junior College,1,7250,NA,0.5280748663,14327
Saybrook University,2,PS,NA,PS,NA
Scripps College,2,11853,0.8574,0.923566879,1077
College of the Sequoias,1,4500,NA,0.4421364985,10752
Shasta Bible College and Graduate School,2,PS,PS,PS,12
Shasta College,1,9500,0.3025,0.3406862745,5536
Sierra College,1,9500,NA,0.3198403649,13455
Sierra College of Beauty,3,PS,NA,NA,245
Trinity Law School,2,19500,NA,0.5627198124,NA
Simpson University,2,13000,0.4434,0.6647127784,751
College of the Siskiyous,1,8000,NA,0.3426791277,1080
Charles A Jones Career and Education Center,1,5308,NA,0.6186046512,90
Skyline College,1,7500,0.4082,0.5135135135,7132
San Bernardino Valley College,1,3938,NA,0.3306451613,11106
Saint Mary's College of California,2,19500,0.7042,0.7582755966,2024
Solano Community College,1,9500,0.3383,0.2866344605,7688
Sonoma State University,1,13000,0.6011,0.6934615385,5374
South Baylo University,2,14000,NA,0.4358974359,NA
South Coast College,3,17346,NA,0.3769633508,241
Vanguard University of Southern California,2,15000,0.5763,0.6570680628,1975
Concorde Career College-Garden Grove,3,9500,NA,0.4823731728,202
Southwestern College,1,4044,NA,0.3768939394,16640
Starr King School for the Ministry,2,PS,NA,NA,NA
Marshall B Ketchum University,2,PS,NA,NA,NA
Southern California Institute of Architecture,2,33250,0.7647,0.5666666667,236
University of Southern California,2,16112,0.9223,0.8019733823,20817
Southwestern Law School,2,PS,NA,PS,NA
Taft College,1,PS,NA,NA,3216
Claremont School of Theology,2,PS,NA,PS,NA
Thomas Aquinas College,2,18000,0.8352,0.923566879,539
Epic Bible College & Graduate School,2,16446,PS,0.3724489796,60
UEI College-Huntington Park,3,9500,NA,0.2426105153,1036
Concorde Career College-San Bernardino,3,9500,NA,0.3821603928,260
Concorde Career College-North Hollywood,3,9500,NA,0.4829369183,143
Ventura College,1,6500,NA,0.2958937198,9971
The Colleges of Law at Ventura,2,PS,NA,NA,NA
Bridges Beauty College,3,PS,NA,0.417721519,80
Victor Valley College,1,7500,NA,0.198156682,12107
Berkeley City College,1,9500,NA,0.3755274262,4541
Walden University,3,11500,PS,0.3000815162,7337
Waynes College of Beauty,3,4424,NA,NA,46
Coalinga College,1,5500,NA,0.3514376997,2177
West Los Angeles College,1,9500,0.2431,0.2524271845,7277
West Valley College,1,7000,NA,0.5183673469,6086
Carrington College-Sacramento,3,10460,0.518,0.3887273902,2262
Westminster Theological Seminary in California,2,NA,NA,NA,NA
Westmont College,2,19343,0.7182,0.8161434978,1310
Whittier College,2,18125,0.6437,0.6729377713,812
Woodbury University,2,21500,0.548,0.5777777778,825
The Wright Institute,2,PS,NA,PS,NA
Thomas Jefferson School of Law,2,PS,NA,PS,NA
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,2,PS,0.1895,NA,157
Yuba College,1,6000,NA,0.325203252,4311
Adams State University,1,11750,0.2966,0.459791283,1239
Aims Community College,1,5250,0.3507,0.4021565495,3182
Arapahoe Community College,1,6500,0.2673,0.4674439067,5392
Bel-Rea Institute of Animal Technology,3,11666,NA,0.4626436782,161
University of Colorado Denver/Anschutz Medical Campus,1,14500,0.4565,0.601254868,10686
University of Colorado Colorado Springs,1,12965,0.4391,0.6305198435,8870
Spartan College of Aeronautics and Technology,3,14750,NA,0.4335812965,321
University of Colorado Boulder,1,13000,0.7489,0.7374584357,31578
Colorado Christian University,2,14000,0.5806,0.4882528834,5363
Colorado College,2,13400,0.8605,0.8855218855,2139
Concorde Career College-Aurora,3,9500,0.7016,0.4109178164,196
Colorado Mountain College,1,5500,0.2645,0.5192307692,2821
Colorado Northwestern Community College,1,8250,NA,0.5152284264,500
Colorado School of Mines,1,17500,0.8053,0.9055183946,5801
Colorado School of Trades,3,13375,NA,0.640625,108
Colorado State University-Fort Collins,1,14750,0.6676,0.7121704117,25148
Colorado Technical University-Colorado Springs,3,12166,0.1857,0.2884093282,25932
Community College of Aurora,1,6500,NA,0.3425556189,3346
Technical College of the Rockies,1,4750,NA,0.5304878049,142
Community College of Denver,1,5500,0.1678,0.2626149986,5156
Lincoln College of Technology-Denver,3,9524,NA,0.407195572,1104
Denver Seminary,2,PS,NA,PS,NA
